# XviD 2pass stat file (core version 1.3.1)
# Please do not modify this file

i 2 5120 0 0 231121 17163
i 2 5120 0 0 232773 17184
i 2 5120 0 0 231252 17164
i 2 5120 0 0 233209 17192
p 2 0 162 4958 1602 805
i 2 5120 0 0 338838 19220
b 4 0 5120 0 944 437
b 4 0 5120 0 945 437
p 2 9 498 4613 20508 2558
b 4 0 5120 0 1599 1068
p 2 516 361 4243 51184 4912
b 4 0 5120 0 1532 416
b 4 0 5120 0 1344 407
p 2 0 233 4887 4816 2354
p 2 1 98 5021 2776 764
i 2 5120 0 0 360994 19672
b 4 0 5120 0 1323 377
b 4 0 5120 0 1371 385
p 2 1 431 4688 4541 2473
b 4 0 5120 0 3511 1755
p 2 1165 417 3538 77286 6897
p 2 362 688 4070 85510 3874
p 2 1549 629 2942 175288 8493
b 4 0 5120 0 1206 781
p 2 83 699 4338 28340 3346
i 2 5120 0 0 336783 19206
i 2 5120 0 0 118866 16127
b 4 0 5120 0 3019 1359
p 2 580 807 3733 93057 4926
b 4 0 5120 0 6548 4974
p 2 2613 2287 220 573604 15173
b 4 0 5120 0 2141 1672
b 4 0 5120 0 3037 1530
p 2 446 1343 3331 89583 5690
p 2 1 369 4750 3487 1050
i 2 5120 0 0 396224 19742
p 2 770 917 3433 68796 5163
b 4 0 5120 0 848 497
b 4 0 5120 0 1447 522
p 2 41 337 4742 7331 2673
b 4 0 5120 0 805 410
b 4 0 5120 0 867 410
p 2 0 73 5047 4445 2407
b 4 0 5120 0 1137 404
p 2 1 51 5068 4127 2401
i 2 5120 0 0 233155 17200
p 2 0 165 4955 2184 810
i 2 5120 0 0 370583 19300
p 2 834 918 3368 75978 5282
b 4 0 5120 0 1347 451
b 4 0 5120 0 1659 444
p 2 0 324 4796 5395 2345
p 2 426 450 4244 40728 3111
i 2 5120 0 0 265345 17689
b 4 0 5120 0 427 424
b 4 0 5120 0 427 424
p 2 0 431 4689 3483 1968
b 4 0 5120 0 706 706
p 2 427 90 4603 45333 3629
